NAME,CLUB,LEAGUE,POSITION,TIER
Kenny Dalglish,Icons,Icons,ST,Gold
Didier Drogba,Icons,Icons,ST,Gold
Hugo Sánchez,Icons,Icons,ST,Gold
John Barnes,Icons,Icons,LW,Gold
Michaël Essien,Icons,Icons,CDM,Gold
Kaká,Icons,Icons,CAM,Gold
Gianfranco Zola,Icons,Icons,CF,Gold
Aymeric Laporte,Manchester City,England Premier League,CB,Gold
Dries Mertens,Napoli,Italy Serie A,CF,Gold
Casemiro,Real Madrid,Spain Primera Division,CDM,Gold
Karim Benzema,Real Madrid,Spain Primera Division,CF,Gold
Bernardo Silva,Manchester City,England Premier League,RW,Gold
Jan Vertonghen,Tottenham Hotspur,England Premier League,CB,Gold
Mats Hummels,Borussia Dortmund,Germany 1. Bundesliga,CB,Gold
Toby Alderweireld,Tottenham Hotspur,England Premier League,CB,Gold
Thiago Silva,Paris Saint-Germain,France Ligue 1,CB,Gold
Jordi Alba,FC Barcelona,Spain Primera Division,LB,Gold
Fernandinho,Manchester City,England Premier League,CDM,Gold
Heung Min Son,Tottenham Hotspur,England Premier League,CF,Gold
Thiago,Bayern München,Germany 1. Bundesliga,CM,Gold
Lorenzo Insigne,Napoli,Italy Serie A,CF,Gold
Gerard Moreno,Villarreal CF,Spain Primera Division,RW,Gold
Andrew Robertson,Liverpool,England Premier League,LB,Gold
Radja Nainggolan,Cagliari,Italy Serie A,CAM,Gold
Alex Telles,FC Porto,Portugal Liga NOS,LB,Gold
Gerard Moreno,Villarreal CF,Spain Primera Division,RW,Gold
Alejandro Gómez,Atalanta,Italy Serie A,CAM,Gold
Gareth Bale,Real Madrid,Spain Primera Division,RW,Gold
Memphis Depay,Olympique Lyonnais,France Ligue 1,CF,Gold
Leon Goretzka,Bayern München,Germany 1. Bundesliga,CM,Gold
Karl Toko-Ekambi,Villarreal CF,Spain Primera Division,ST,Gold
Andrew Robertson,Liverpool,England Premier League,LB,Gold
Radja Nainggolan,Cagliari,Italy Serie A,CAM,Gold
Alex Telles,FC Porto,Portugal Liga NOS,LB,Gold
Gelson Martins,AS Monaco,France Ligue 1,RM,Gold
Danilo,Piemonte Calcio,Italy Serie A,RB,Gold
Riyad Mahrez,Manchester City,England Premier League,RW,Gold
Jadon Sancho,Borussia Dortmund,Germany 1. Bundesliga,RM,Gold
Ousmane Dembélé,FC Barcelona,Spain Primera Division,RW,Gold
Kingsley Coman,Bayern München,Germany 1. Bundesliga,LM,Gold
Allan,Napoli,Italy Serie A,CM,Gold
Jamie Vardy,Leicester City,England Premier League,ST,Gold
Kyle Walker,Manchester City,England Premier League,RB,Gold
Matthijs de Ligt,Piemonte Calcio,Italy Serie A,CB,Gold
Hakim Ziyech,Ajax,Holland Eredivisie,CAM,Gold
Luis Alberto,Lazio,Italy Serie A,CM,Gold
Romelu Lukaku,Inter,Italy Serie A,ST,Gold
Kyle Walker,Manchester City,England Premier League,RB,Gold
Matthijs de Ligt,Piemonte Calcio,Italy Serie A,CB,Gold
Hakim Ziyech,Ajax,Holland Eredivisie,CAM,Gold
Luis Alberto,Lazio,Italy Serie A,CM,Gold
Romelu Lukaku,Inter,Italy Serie A,ST,Gold
Fabinho,Liverpool,England Premier League,CDM,Gold
Saúl,Atlético de Madrid,Spain Primera Division,CM,Gold
Josip Iličić,Atalanta,Italy Serie A,ST,Gold
Fabinho,Liverpool,England Premier League,CDM,Gold
Saúl,Atlético de Madrid,Spain Primera Division,CM,Gold
Josip Iličić,Atalanta,Italy Serie A,ST,Gold
Sebastian Giovinco,Al Hilal,Saudi Dawry Jameel League,CF,Gold
Julian Draxler,Paris Saint-Germain,France Ligue 1,CAM,Gold
Dimitri Payet,Olympique de Marseille,France Ligue 1,CAM,Gold
Kévin Gameiro,Valencia CF,Spain Primera Division,ST,Gold
Ivan Rakitić,FC Barcelona,Spain Primera Division,CM,Gold
Hulk,Shanghai SIPG,China Super League,RM,Gold
James Milner,Liverpool,England Premier League,CM,Gold
William Carvalho,Real Betis Balompié,Spain Primera Division,CDM,Gold
Alessio Romagnoli,Milan,Italy Serie A,CB,Gold
Amine Harit,FC Schalke 04,Germany 1. Bundesliga,CAM,Gold
Georginio Wijnaldum,Liverpool,England Premier League,CM,Gold
İlkay Gündoğan,Manchester City,England Premier League,CM,Gold
Georginio Wijnaldum,Liverpool,England Premier League,CM,Gold
İlkay Gündoğan,Manchester City,England Premier League,CM,Gold
Alejandro Gómez,Atalanta,Italy Serie A,CAM,Gold
Carlos Vela,Los Angeles FC,USA Major League Soccer,ST,Gold
Łukasz Piszczek,Borussia Dortmund,Germany 1. Bundesliga,RB,Gold
Alejandro Gómez,Atalanta,Italy Serie A,CAM,Gold
Riyad Mahrez,Manchester City,England Premier League,RW,Gold
Kai Havertz,Bayer 04 Leverkusen,Germany 1. Bundesliga,CAM,Gold
Samuel Umtiti,FC Barcelona,Spain Primera Division,CB,Gold
Coutinho,Bayern München,Germany 1. Bundesliga,LW,Gold
Thomas Müller,Bayern München,Germany 1. Bundesliga,CAM,Gold
Joshua Kimmich,Bayern München,Germany 1. Bundesliga,RB,Gold
Milan Škriniar,Inter,Italy Serie A,CB,Gold
Miralem Pjanić,Piemonte Calcio,Italy Serie A,CM,Gold
Leonardo Bonucci,Piemonte Calcio,Italy Serie A,CB,Gold
Roberto Firmino,Liverpool,England Premier League,CF,Gold
Leroy Sané,Manchester City,England Premier League,LW,Gold
Ángel Di María,Paris Saint-Germain,France Ligue 1,RW,Gold
Marquinhos,Paris Saint-Germain,France Ligue 1,CB,Gold
Isco,Real Madrid,Spain Primera Division,CAM,Gold
Parejo,Valencia CF,Spain Primera Division,CM,Gold
Josef Martínez,Atlanta United FC,USA Major League Soccer,ST,Gold
Frenkie de Jong,FC Barcelona,Spain Primera Division,CM,Gold
Romelu Lukaku,Inter,Italy Serie A,ST,Gold
Matthijs de Ligt,Piemonte Calcio,Italy Serie A,CB,Gold
Patrick Vieira,Icons,Icons,CM,Gold
Pavel Nedvěd,Icons,Icons,LM,Gold
Andriy Shevchenko,Icons,Icons,ST,Gold
Carles Puyol,Icons,Icons,RB,Gold
Raúl,Icons,Icons,CF,Gold
Frank Lampard,Icons,Icons,CM,Gold
Ruud Gullit,Icons,Icons,CM,Gold
Michael Ballack,Icons,Icons,CM,Gold
Steven Gerrard,Icons,Icons,CDM,Gold
David Trezeguet,Icons,Icons,ST,Gold
Roy Keane,Icons,Icons,CM,Gold
Frank Rijkaard,Icons,Icons,CDM,Gold
Michael Owen,Icons,Icons,ST,Gold
Marc Overmars,Icons,Icons,LW,Gold
Henrik Larsson,Icons,Icons,ST,Gold
Patrick Kluivert,Icons,Icons,ST,Gold
Christian Vieri,Icons,Icons,ST,Gold
Hidetoshi Nakata,Icons,Icons,CAM,Gold
Juan Sebastián Verón,Icons,Icons,CM,Gold
Ruud van Nistelrooy,Icons,Icons,ST,Gold
Frenkie de Jong,FC Barcelona,Spain Primera Division,CM,Gold
Zlatan Ibrahimović,Los Angeles Galaxy,USA Major League Soccer,ST,Gold
Gianluca Zambrotta,Icons,Icons,RWB,Gold
John Barnes,Icons,Icons,CAM,Gold
Fernando Hierro,Icons,Icons,CB,Gold
Roberto Carlos,Icons,Icons,LB,Gold
Milan Škriniar,Inter,Italy Serie A,CB,Gold
Alexandre Lacazette,Arsenal,England Premier League,ST,Gold
Samuel Umtiti,FC Barcelona,Spain Primera Division,CB,Gold
Ángel Di María,Paris Saint-Germain,France Ligue 1,RW,Gold
Ivan Rakitić,FC Barcelona,Spain Primera Division,CM,Gold
Roberto Firmino,Liverpool,England Premier League,CF,Gold
Miralem Pjanić,Piemonte Calcio,Italy Serie A,CM,Gold
Marquinhos,Paris Saint-Germain,France Ligue 1,CB,Gold
Leroy Sané,Manchester City,England Premier League,LW,Gold
Ciro Immobile,Lazio,Italy Serie A,ST,Gold
Thomas Müller,Bayern München,Germany 1. Bundesliga,CAM,Gold
